Symbol,Company,Category
ABCAPITAL.NS,Aditya Birla Capital Ltd.,Mid Cap
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Mid Cap
ACC.NS,ACC Ltd.,Mid Cap
AIAENG.NS,AIA Engineering Ltd.,Mid Cap
AJANTPHARM.NS,Ajanta Pharma Ltd.,Mid Cap
ALKEM.NS,Alkem Laboratories Ltd.,Mid Cap
APOLLOTYRE.NS,Apollo Tyres Ltd.,Mid Cap
ASHOKLEY.NS,Ashok Leyland Ltd.,Mid Cap
ASTRAL.NS,Astral Ltd.,Mid Cap
AUBANK.NS,AU Small Finance Bank Ltd.,Mid Cap
AUROPHARMA.NS,Aurobindo Pharma Ltd.,Mid Cap
BALKRISIND.NS,Balkrishna Industries Ltd.,Mid Cap
BANDHANBNK.NS,Bandhan Bank Ltd.,Mid Cap
BATAINDIA.NS,Bata India Ltd.,Mid Cap
BHEL.NS,Bharat Heavy Electricals Ltd.,Mid Cap
BIOCON.NS,Biocon Ltd.,Mid Cap
BRIGADE.NS,Brigade Enterprises Ltd.,Mid Cap
CESC.NS,CESC Ltd.,Mid Cap
CG.NS,Crompton Greaves Consumer Electricals Ltd.,Mid Cap
CHAMBLFERT.NS,Chambal Fertilisers & Chemicals Ltd.,Mid Cap
COFORGE.NS,Coforge Ltd.,Mid Cap
CONCOR.NS,Container Corporation of India Ltd.,Mid Cap
CUMMINSIND.NS,Cummins India Ltd.,Mid Cap
DALBHARAT.NS,Dalmia Bharat Ltd.,Mid Cap
DEEPAKNTR.NS,Deepak Nitrite Ltd.,Mid Cap
DIXON.NS,Dixon Technologies India Ltd.,Mid Cap
EMAMILTD.NS,Emami Ltd.,Mid Cap
ESCORTS.NS,Escorts Kubota Ltd.,Mid Cap
EXIDEIND.NS,Exide Industries Ltd.,Mid Cap
FEDERALBNK.NS,The Federal Bank Ltd.,Mid Cap
GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Mid Cap
GNFC.NS,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Mid Cap
GUJGASLTD.NS,Gujarat Gas Ltd.,Mid Cap
HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,Mid Cap
IPCALAB.NS,IPCA Laboratories Ltd.,Mid Cap
IRFC.NS,Indian Railway Finance Corporation Ltd.,Mid Cap
JKCEMENT.NS,JK Cement Ltd.,Mid Cap
JUBLFOOD.NS,Jubilant Foodworks Ltd.,Mid Cap
KAJARIACER.NS,Kajaria Ceramics Ltd.,Mid Cap
KAYNES.NS,Kaynes Technology India Ltd.,Mid Cap
KIMS.NS,Krishna Institute of Medical Sciences Ltd.,Mid Cap
LTTS.NS,L&T Technology Services Ltd.,Mid Cap
MANAPPURAM.NS,Manappuram Finance Ltd.,Mid Cap
MFSL.NS,Max Financial Services Ltd.,Mid Cap
MGL.NS,Mahanagar Gas Ltd.,Mid Cap
MPHASIS.NS,Mphasis Ltd.,Mid Cap
MRF.NS,MRF Ltd.,Mid Cap
NATIONALUM.NS,National Aluminium Co. Ltd.,Mid Cap
NMDC.NS,NMDC Ltd.,Mid Cap
PAGEIND.NS,Page Industries Ltd.,Mid Cap
PIIND.NS,PI Industries Ltd.,Mid Cap
POONAWALLA.NS,Poonawalla Fincorp Ltd.,Mid Cap
RBLBANK.NS,RBL Bank Ltd.,Mid Cap
ROUTE.NS,Route Mobile Ltd.,Mid Cap
SOLARINDS.NS,Solar Industries India Ltd.,Mid Cap
SONACOMS.NS,Sona BLW Precision Forgings Ltd.,Mid Cap
SRF.NS,SRF Ltd.,Mid Cap
SUNDARMFIN.NS,Sundaram Finance Ltd.,Mid Cap
SUNTV.NS,Sun TV Network Ltd.,Mid Cap
SUPREMEIND.NS,Supreme Industries Ltd.,Mid Cap
SUZLON.NS,Suzlon Energy Ltd.,Mid Cap
TATAELXSI.NS,Tata Elxsi Ltd.,Mid Cap
THERMAX.NS,Thermax Ltd.,Mid Cap
TIINDIA.NS,Tube Investments of India Ltd.,Mid Cap
TIMKEN.NS,Timken India Ltd.,Mid Cap
