Symbol,Company,Category
AARTIIND.NS,Aarti Industries Ltd.,Small Cap
AAVAS.NS,Aavas Financiers Ltd.,Small Cap
AEGISCHEM.NS,Aegis Logistics Ltd.,Small Cap
AETHER.NS,Aether Industries Ltd.,Small Cap
AKZOINDIA.NS,Akzo Nobel India Ltd.,Small Cap
ALEMBICLTD.NS,Alembic Pharmaceuticals Ltd.,Small Cap
ALEXOTYRES.NS,Alexander Industries Ltd.,Small Cap
AMBER.NS,Amber Enterprises India Ltd.,Small Cap
ANGELONE.NS,Angel One Ltd.,Small Cap
APARINDS.NS,Apar Industries Ltd.,Small Cap
APLAPOLLO.NS,APL Apollo Tubes Ltd.,Small Cap
ATUL.NS,Atul Ltd.,Small Cap
AVANTIFEED.NS,Avanti Feeds Ltd.,Small Cap
BSOFT.NS,Birlasoft Ltd.,Small Cap
CAMPUS.NS,Campus Activewear Ltd.,Small Cap
CARBORUNIV.NS,Carborundum Universal Ltd.,Small Cap
CDSL.NS,Central Depository Services India Ltd.,Small Cap
CENTURYPLY.NS,Century Plyboards India Ltd.,Small Cap
CERA.NS,Cera Sanitaryware Ltd.,Small Cap
CLEAN.NS,Clean Science and Technology Ltd.,Small Cap
DEEPAKFERT.NS,Deepak Fertilisers and Petrochemicals Corp. Ltd.,Small Cap
DELTACORP.NS,Delta Corp Ltd.,Small Cap
ELGIEQUIP.NS,Elgi Equipments Ltd.,Small Cap
EMUDHRA.NS,eMudhra Ltd.,Small Cap
GALLANTT.NS,Gallantt Ispat Ltd.,Small Cap
GLOBUSSPR.NS,Globus Spirits Ltd.,Small Cap
GPPL.NS,Gujarat Pipavav Port Ltd.,Small Cap
GREENPANEL.NS,Greenpanel Industries Ltd.,Small Cap
GRINDWELL.NS,Grindwell Norton Ltd.,Small Cap
HAPPSTMNDS.NS,Happiest Minds Technologies Ltd.,Small Cap
HFCL.NS,HFCL Ltd.,Small Cap
HIKAL.NS,Hikal Ltd.,Small Cap
HINDCOPPER.NS,Hindustan Copper Ltd.,Small Cap
ISGEC.NS,Isgec Heavy Engineering Ltd.,Small Cap
ITDCEM.NS,ITD Cementation India Ltd.,Small Cap
JBCHEPHARM.NS,JB Chemicals & Pharmaceuticals Ltd.,Small Cap
JKPAPER.NS,JK Paper Ltd.,Small Cap
JINDALSAW.NS,Jindal Saw Ltd.,Small Cap
JYOTICNC.NS,Jyoti CNC Automation Ltd.,Small Cap
KRBL.NS,KRBL Ltd.,Small Cap
LAXMIMACH.NS,Laxmi Machine Works Ltd.,Small Cap
MASTEK.NS,Mastek Ltd.,Small Cap
MTAR.NS,MTAR Technologies Ltd.,Small Cap
NATCOPHARM.NS,Natco Pharma Ltd.,Small Cap
NBCC.NS,NBCC India Ltd.,Small Cap
NEULANDLAB.NS,Neuland Laboratories Ltd.,Small Cap
ORIENTELEC.NS,Orient Electric Ltd.,Small Cap
PFIZER.NS,Pfizer Ltd.,Small Cap
POLYMED.NS,Poly Medicure Ltd.,Small Cap
PRAJIND.NS,Praj Industries Ltd.,Small Cap
PRINCEPIPE.NS,Prince Pipes and Fittings Ltd.,Small Cap
QUICKHEAL.NS,Quick Heal Technologies Ltd.,Small Cap
RAYMOND.NS,Raymond Ltd.,Small Cap
REDINGTON.NS,Redington Ltd.,Small Cap
SAFARI.NS,Safari Industries India Ltd.,Small Cap
SAREGAMA.NS,Saregama India Ltd.,Small Cap
SHOPERSTOP.NS,Shoppers Stop Ltd.,Small Cap
SPANDANA.NS,Spandana Sphoorty Financial Ltd.,Small Cap
SUDARSCHEM.NS,Sudarshan Chemical Industries Ltd.,Small Cap
SUPRIYA.NS,Supriya Lifescience Ltd.,Small Cap
TANLA.NS,Tanla Platforms Ltd.,Small Cap
TITAGARH.NS,Titagarh Rail Systems Ltd.,Small Cap
TTML.NS,Tata Teleservices Maharashtra Ltd.,Small Cap
